Country,Count,Latitude,Longitude,BaseInfo,Headers,MoreInfo
Haiti,1,18.9712,-72.2852,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Serbia,3,44.0165,21.0059,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Angola,1,-11.2027,17.8739,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
General Middle Eastern Region,2,29.3759,47.9774,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Cuba,1,21.5218,-77.7812,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Colombia,1,4.5709,-74.2973,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Burma,3,21.9162,95.956,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Sudan,1,12.8628,30.2176,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
South Sudan,1,6.877,31.307,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Kosovo,1,42.6629,20.6854,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Montenegro,2,42.7087,19.3744,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Sierra Leone,1,8.4606,-11.7799,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Albania,1,41.1533,20.1683,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Zimbabwe,1,-19.0154,29.1549,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Cote d'Ivoire,1,7.5399,-5.5471,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Belarus,1,53.9006,27.559,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Congo,1,-4.0383,21.7587,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Lebanon,1,33.8547,35.8623,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Syria,3,34.8021,38.9968,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
North Korea,1,40.3399,127.5101,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Somalia,1,5.1521,46.1996,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Mexico,2,23.6345,-102.5528,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Japan,1,36.2048,138.2529,"Opponents in World War II, the US and Japan began an economic bilateral relationship and military alliance after the war. Nixon, however, introduced some tension between the US and Japan by beginning relations with China and implementing a national emergency that would cause the value of the yen to skyrocket, damaging Japan’s international trade prospects unless Japan reached an export surplus. This, US and Japan’s role in the Vietnam War, and Japan renouncing support for Israel after an OPEC embargo all resulted in more issues of defense between the two nations. While they remain competitors, the US and Japan are now largely friendly due to economic interdependence.",1. (1971 - 1978) RICHARD NIXON: Imposition of Supplemental Duty for Balance of Payments Purposes,"Nixon invoked the Trading With the Enemy Act (TWEA) to justify a national emergency. He imposed a 10% surcharge on all dutiable imports (any import subject to customs) into the United States after the US' international monetary reserves experienced a rapid decline. Essentially, the US could no longer pay for essential imports based on its own export capital, so the US was running through its reserves. This temporary tariff was to pressure countries (especially Japan) to help the US fix the balance of payments crisis by paying more for imports to the US. !"
Italy,1,41.8719,12.5674,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Yemen,1,15.5527,48.5164,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Crimea,1,45.3333,34.1667,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Ukraine,1,48.383022,31.1828699,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Central African Republic,1,6.6111,20.9394,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Venezuela,1,6.4238,-66.5897,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Burundi,1,-3.3731,29.9189,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
China,4,35.8617,104.1954,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Mali,1,17.5707,-3.9962,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Afghanistan,2,33.9391,67.71,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Hong Kong,1,22.3701,114.15,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Ethiopia,1,9.145,40.4897,,,something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes something something this is where all the information goes
Occupied Territory of Palestine,1,31.9522,35.2332,"Palestine is greatly affected by many US policies, but is only directly named in one National Emergency. This national emergency, however, has not been thoroughly enacted, as described below:","1. (2024 - Ongoing) JOE BIDEN: Imposing Certain Sanctions of Persons Undermining Peace, Security, and Stability in the West Bank","This National Emergency, enacted under Executive Order 14115, claims to prohibit transactions involving property of any foreigner who is complicit (indirectly or directly) to actions that threaten stabilization in the West Bank. The executive order’s sanctions include any foreigner participating in indirect or direct planning, violence, threat of violence to civilians, property destruction, seizure or dispossession of property, and invoking of fear. The executive order also sanctions any entities, including governments, whose members have engaged in these activities or who have materially assisted, sponsored, or provided financial, material, or technological support for any such activity. 
 

 It is important to understand that the United States is targeting foreigners here; since the US is not a foreign body to itself, it is not condemning itself for providing the weaponry and personnel that is contributing to the destruction of Palestine in both Gaza and the West Bank. Nor does it seem to condemn Americans who go to the region to join the Israeli Defense Forces that are perpetuating violence and definitively participating in any of the actions listed above. As Israel is technically a foreign body, this National Emergency should require sanctioning the Israeli government and should cease all transactions between the United States and Israel. That is, curiously, not happening. So far, only four Israeli settlers enacting violence in the West Bank have been sanctioned: David Chai Chasdai, Einan Tanjil, Shalom Zicherman, and Yinon Levi. The actions they - assaulting Palestinian civilians and causing property damage, assaulting Israeli peace activists, and creating an atmosphere of fear in the West Bank - are actions that the IDF and the Israeli government enact on a daily basis as well."
